Iters;Times
100;894209110
100;679765
100;644146
100;604895
100;608736
100;628013
100;616908
100;620400
100;631993
100;636394
200;610902
200;616908
200;632831
200;617885
200;645473
200;619073
200;600635
200;615790
200;588762
200;597283
500;614604
500;620680
500;628642
500;598470
500;625289
500;606851
500;593860
500;603638
500;618654
500;600076
1000;771188
1000;762597
1000;744438
1000;728514
1000;752330
1000;782431
1000;731029
1000;731658
1000;753867
1000;748420
2000;1615080
2000;705956
2000;654971
2000;657486
2000;671733
2000;677670
2000;640026
2000;645334
2000;668381
2000;658883
5000;800521
5000;716850
5000;715314
5000;691359
5000;699600
5000;674806
5000;666914
5000;697365
5000;666704
5000;690730
10000;1626044
10000;842705
10000;830343
10000;809949
10000;820565
10000;803384
10000;824337
10000;795911
10000;791162
10000;803384
20000;2679321
20000;1426089
20000;1409746
20000;1471067
20000;1460940
20000;1402482
20000;1482102
20000;1379366
20000;1454235
20000;1459543
50000;28409756
50000;36860481
50000;7069125
50000;6994395
50000;7450249
50000;7202173
50000;6085480
50000;6001880
50000;5894254
50000;6272096
100000;89634227
100000;49125587
100000;30049420
100000;30072887
100000;30118423
100000;30129039
100000;28897178
100000;28717267
100000;30336817
100000;30574417
