Iters;Times
100;65790
100;27937
100;25562
100;24724
100;23746
100;23397
100;23397
100;23397
100;93727
100;23536
200;43861
200;36596
200;36736
200;36667
200;27658
200;26819
200;26260
200;26121
200;26191
200;26120
500;82412
500;47143
500;46095
500;44140
500;42324
500;41625
500;39879
500;39111
500;38761
500;38413
1000;105949
1000;77384
1000;71937
1000;67187
1000;64323
1000;61530
1000;59644
1000;57619
1000;57549
1000;57200
2000;192483
2000;139333
2000;130323
2000;188292
2000;121733
2000;114400
2000;111746
2000;109022
2000;106228
2000;106298
5000;1046083
5000;612648
5000;663212
5000;562641
5000;517175
5000;560686
5000;543854
5000;534146
5000;555727
5000;554191
10000;1066825
10000;893340
10000;1066616
10000;991048
10000;975752
10000;958292
10000;958711
10000;836559
10000;798845
10000;807086
20000;1741701
20000;1587423
20000;1585467
20000;1016749
20000;989232
20000;976870
20000;952216
20000;941460
20000;911080
20000;942858
50000;6294165
50000;4702064
50000;4277918
50000;4190616
50000;4158140
50000;4294959
50000;4384147
50000;4128667
50000;3866273
50000;3914813
100000;13160193
100000;10914865
100000;10865277
100000;10823024
100000;10700592
100000;10185582
100000;10017474
100000;10035493
100000;10004693
100000;10098909
