Iters;Times
100;10616
100;5239
100;4610
100;4819
100;4330
100;4819
100;4191
100;4679
100;4679
100;4260
200;76127
200;9009
200;8172
200;6565
200;6076
200;5238
200;4819
200;4750
200;4819
200;4749
500;40019
500;22489
500;18717
500;15504
500;13549
500;11803
500;10895
500;10057
500;9987
500;9498
1000;76965
1000;51404
1000;45397
1000;39041
1000;36736
1000;36806
1000;26958
1000;25842
1000;24375
1000;23885
2000;154349
2000;109931
2000;94845
2000;85765
2000;79549
2000;73404
2000;89537
2000;67536
2000;67187
2000;63765
5000;439511
5000;320571
5000;300597
5000;315543
5000;285721
5000;280623
5000;300946
5000;275105
5000;271892
5000;271822
10000;660698
10000;548394
10000;499574
10000;476876
10000;503835
10000;447473
10000;461861
10000;457112
10000;439581
10000;416464
20000;1285988
20000;821194
20000;828736
20000;814698
20000;827480
20000;821892
20000;835372
20000;835861
20000;811695
20000;831320
50000;9807811
50000;9368789
50000;9382408
50000;9358871
50000;9353004
50000;9406293
50000;9454414
50000;9461468
50000;9437302
50000;9459163
100000;25885971
100000;25681127
100000;25773248
100000;25696702
100000;25616174
100000;24221654
100000;23807565
100000;23886975
100000;23765241
100000;23724245
