Iters;Times
100;98685
100;36736
100;52870
100;26680
100;26050
100;25772
100;25283
100;25212
100;25213
100;25283
200;48121
200;37715
200;36597
200;36247
200;36527
200;37015
200;36737
200;36667
200;28007
200;36667
500;69213
500;50914
500;46793
500;44140
500;42115
500;40508
500;38971
500;38692
500;39042
500;37296
1000;119219
1000;85905
1000;79340
1000;74870
1000;71518
1000;85556
1000;68095
1000;64883
1000;63277
1000;62718
2000;213715
2000;157353
2000;145410
2000;139054
2000;133117
2000;127460
2000;147295
2000;123968
2000;121105
2000;118939
5000;1177175
5000;639187
5000;550419
5000;633740
5000;577658
5000;593931
5000;565016
5000;546298
5000;592673
5000;606711
10000;806388
10000;694572
10000;750724
10000;693873
10000;700718
10000;1025550
10000;937340
10000;890895
10000;907168
10000;856533
20000;1386838
20000;1036095
20000;1043498
20000;1020241
20000;1020730
20000;1052718
20000;1158527
20000;1141486
20000;1175219
20000;1177035
50000;4521245
50000;4311303
50000;3872420
50000;3897842
50000;3821715
50000;3947289
50000;3848813
50000;3926756
50000;3926197
50000;3885410
100000;9893087
100000;10694795
100000;9782458
100000;9500648
100000;8955328
100000;8841626
100000;8960147
100000;9053455
100000;8989760
100000;8965944
