Iters;Times
100;549278205
100;411218
100;369009
100;378438
100;392319
100;373959
100;363838
100;373819
100;370808
100;370449
200;356779
200;350548
200;367809
200;358418
200;353599
200;354859
200;350848
200;355419
200;395179
200;352958
500;414239
500;402758
500;405719
500;421568
500;393188
500;393319
500;386368
500;401499
500;424208
500;402239
1000;543748
1000;531898
1000;534388
1000;532878
1000;536178
1000;529238
1000;539027
1000;534668
1000;536018
1000;527048
2000;1395655
2000;712797
2000;655738
2000;655767
2000;653768
2000;635537
2000;646248
2000;648007
2000;649198
2000;630428
5000;1341624
5000;1297016
5000;1257565
5000;1257805
5000;1256215
5000;1253525
5000;1284845
5000;1270206
5000;1268555
5000;1258235
10000;3255888
10000;3055008
10000;3292797
10000;3319538
10000;3324437
10000;3448297
10000;3336177
10000;3249568
10000;3331107
10000;3311077
20000;9661603
20000;9155756
20000;9085255
20000;9140335
20000;9066085
20000;9531234
20000;9182155
20000;9084165
20000;9056096
20000;9063095
50000;38245714
50000;35382865
50000;35584185
50000;34725977
50000;34720578
50000;34913757
50000;34852887
50000;35551784
50000;35224196
50000;35033026
100000;124476065
100000;108633126
100000;112020482
100000;108990885
100000;111717493
100000;107788069
100000;107129292
100000;108139287
100000;111713044
100000;108209907
