Iters;Times
100;55700
100;28450
100;22980
100;21309
100;20480
100;21190
100;20550
100;20470
100;20730
100;20940
200;44700
200;35490
200;34750
200;32439
200;32930
200;32150
200;63620
200;43660
200;35720
200;32680
500;84069
500;83100
500;73570
500;68449
500;66370
500;71650
500;69440
500;66189
500;64790
500;64250
1000;162789
1000;149900
1000;136039
1000;133180
1000;133739
1000;129510
1000;129479
1000;132780
1000;135399
1000;131370
2000;354308
2000;332929
2000;288159
2000;312149
2000;298519
2000;299248
2000;298509
2000;293879
2000;293969
2000;289279
5000;1361765
5000;1296365
5000;1208075
5000;1165166
5000;1170975
5000;1166686
5000;1158985
5000;1170576
5000;1159175
5000;1159756
10000;2847499
10000;2655580
10000;2590880
10000;2593500
10000;2588920
10000;2620580
10000;2606020
10000;2597511
10000;2570760
10000;2555390
20000;7573401
20000;7268572
20000;7199673
20000;7025733
20000;7066783
20000;7083933
20000;7402192
20000;7222022
20000;7150323
20000;7207133
50000;33838400
50000;30170815
50000;29667577
50000;30026756
50000;30475123
50000;30343795
50000;29826036
50000;29797206
50000;29630847
50000;30378624
100000;119964413
100000;106683223
100000;96965300
100000;88246343
100000;89452669
100000;89725168
100000;88835431
100000;88572122
100000;90531655
100000;90263135
