Iters;Times
100;38810
100;21620
100;17020
100;15850
100;15070
100;15169
100;15090
100;15230
100;14910
100;15820
200;38280
200;30840
200;28540
200;27520
200;26940
200;27130
200;26249
200;26150
200;26320
200;26240
500;77230
500;81360
500;67209
500;64550
500;68810
500;61920
500;61429
500;61080
500;60020
500;60010
1000;156809
1000;141249
1000;126740
1000;142849
1000;134520
1000;129309
1000;129890
1000;126509
1000;124910
1000;123899
2000;345639
2000;313339
2000;322419
2000;285829
2000;313068
2000;280379
2000;290629
2000;418869
2000;411988
2000;361549
5000;1212315
5000;1040966
5000;960336
5000;943587
5000;907306
5000;904807
5000;908476
5000;891177
5000;887127
5000;887046
10000;2640310
10000;2533471
10000;2485810
10000;2473251
10000;2468400
10000;2542471
10000;2540130
10000;2573900
10000;2471271
10000;2480810
20000;7754341
20000;7520531
20000;7354352
20000;7345212
20000;7595601
20000;7323652
20000;7311042
20000;7387332
20000;7350902
20000;7336852
50000;35743803
50000;32498566
50000;32128128
50000;32087147
50000;32077238
50000;32084358
50000;32120207
50000;32093888
50000;32066267
50000;32140558
100000;128834838
100000;121110048
100000;119340955
100000;101300074
100000;99927588
100000;99567851
100000;99936488
100000;100146078
100000;100084159
100000;100384917
