Iters;Times
100;55660
100;28679
100;22790
100;21390
100;20640
100;21030
100;20900
100;20580
100;20400
100;20740
200;44800
200;35759
200;34760
200;32220
200;32680
200;32220
200;32480
200;31640
200;31640
200;32059
500;84590
500;89780
500;75879
500;69840
500;69140
500;68980
500;68819
500;67810
500;66550
500;72830
1000;169169
1000;149879
1000;179420
1000;159939
1000;146240
1000;137299
1000;134930
1000;131459
1000;129190
1000;135499
2000;359479
2000;344698
2000;289869
2000;314559
2000;292749
2000;291309
2000;292869
2000;289449
2000;299288
2000;308199
5000;1588164
5000;1535334
5000;1461975
5000;1446474
5000;1505235
5000;1467664
5000;1434004
5000;1423865
5000;1435605
5000;1433164
10000;3060958
10000;2905789
10000;2820230
10000;2839739
10000;2892249
10000;2805589
10000;2799549
10000;2870159
10000;2826000
10000;2779859
20000;7744890
20000;7419192
20000;7263142
20000;7166033
20000;7217473
20000;7205132
20000;7233072
20000;7239443
20000;7193412
20000;7200813
50000;33577682
50000;34222689
50000;30494114
50000;30862982
50000;30720613
50000;30324174
50000;33716872
50000;30358164
50000;30833622
50000;29982156
100000;118379418
100000;106862303
100000;106380864
100000;94347080
100000;88598042
100000;88939911
100000;89109940
100000;90694524
100000;97063900
100000;87879354
