Iters;Times
100;2370
100;1210
100;680
100;350
100;290
100;300
100;300
100;280
100;270
100;270
200;3690
200;2290
200;1400
200;680
200;580
200;550
200;540
200;540
200;540
200;540
500;10650
500;5400
500;2240
500;1670
500;1540
500;1500
500;1520
500;1530
500;1500
500;1460
1000;19330
1000;6260
1000;3930
1000;3490
1000;3320
1000;3380
1000;3360
1000;3370
1000;3309
1000;3380
2000;43420
2000;15360
2000;9360
2000;8190
2000;7930
2000;7580
2000;7670
2000;7530
2000;7730
2000;7500
5000;115069
5000;61540
5000;41020
5000;30930
5000;31000
5000;31229
5000;28100
5000;27660
5000;27280
5000;27330
10000;265779
10000;193739
10000;190240
10000;249129
10000;196279
10000;169479
10000;144329
10000;122910
10000;108609
10000;99200
20000;653077
20000;554888
20000;547387
20000;533658
20000;539808
20000;526588
20000;531927
20000;521668
20000;525598
20000;520718
50000;2406450
50000;2228661
50000;2212030
50000;2196841
50000;2188920
50000;2198291
50000;2193651
50000;2522359
50000;2200871
50000;2207940
100000;12961225
100000;12523976
100000;11984859
100000;11414661
100000;11390232
100000;11461001
100000;11477771
100000;11506581
100000;11546720
100000;11507131
