Iters;Times
100;147435
100;88280
100;78642
100;78292
100;76616
100;77174
100;76755
100;76826
100;95403
100;76825
200;147505
200;142476
200;135632
200;135422
200;133397
200;134934
200;157911
200;136051
200;135911
200;134305
500;334051
500;373092
500;321061
500;318407
500;337613
500;314844
500;310584
500;325460
500;313168
500;316311
1000;688496
1000;673131
1000;650781
1000;653435
1000;650502
1000;633042
1000;649384
1000;689403
1000;630108
1000;646660
2000;1482242
2000;1500819
2000;1539581
2000;1395079
2000;1412191
2000;1331245
2000;1278863
2000;1260216
2000;1152870
2000;1110267
5000;3264870
5000;2935359
5000;2505206
5000;2262578
5000;2087416
5000;1945149
5000;1827467
5000;1740235
5000;1665016
5000;1650489
10000;4536959
10000;4352788
10000;4201930
10000;4255010
10000;4235524
10000;4195365
10000;4203397
10000;4218763
10000;4209404
10000;4256756
20000;13100687
20000;12664389
20000;12519398
20000;12344376
20000;12319442
20000;12302961
20000;12332853
20000;12331037
20000;12319512
20000;12334668
50000;59286795
50000;55455442
50000;54496591
50000;54604076
50000;54534166
50000;54480807
50000;54467188
50000;54632432
50000;54608896
50000;54905372
100000;211339011
100000;197909650
100000;202135607
100000;201369517
100000;198736152
100000;199764425
100000;201302191
100000;202829060
100000;200899276
100000;200580661
