Iters;Times
100;154489
100;93937
100;84299
100;83181
100;81435
100;82902
100;82622
100;82413
100;82552
100;81435
200;160775
200;155048
200;146527
200;146039
200;144572
200;145550
200;160076
200;145829
200;146108
200;144990
500;366318
500;402915
500;354166
500;364432
500;353257
500;351581
500;421632
500;346692
500;346343
500;371486
1000;730540
1000;760711
1000;737734
1000;805340
1000;703441
1000;717619
1000;722019
1000;715873
1000;697644
1000;724882
2000;1382928
2000;1319791
2000;1337810
2000;1129543
2000;1158946
2000;1079537
2000;1229766
2000;977359
2000;957943
2000;901441
5000;2752375
5000;2519035
5000;2183028
5000;2034407
5000;1891511
5000;1842971
5000;1843251
5000;1821251
5000;1837314
5000;1842343
10000;4987575
10000;4828896
10000;4731467
10000;4774978
10000;4735658
10000;4702483
10000;4689912
10000;4661975
10000;4700178
10000;4694591
20000;14058560
20000;13652224
20000;13490751
20000;13274593
20000;13288421
20000;13275919
20000;13289398
20000;13295963
20000;13321107
20000;13333189
50000;60923735
50000;56552300
50000;56142331
50000;55637448
50000;55954668
50000;55726496
50000;55619290
50000;55731246
50000;55489944
50000;55765258
100000;205194934
100000;195100983
100000;196255949
100000;194592190
100000;193642628
100000;194894952
100000;195174387
100000;194564951
100000;195789968
100000;195563962
