Iters;Times
100;2010
100;770
100;410
100;310
100;260
100;260
100;260
100;250
100;250
100;250
200;290
200;70
200;50
200;30
200;50
200;30
200;40
200;40
200;40
200;40
500;1140
500;530
500;290
500;210
500;210
500;190
500;200
500;200
500;200
500;180
1000;1150
1000;380
1000;320
1000;290
1000;280
1000;280
1000;280
1000;290
1000;280
1000;290
2000;940
2000;330
2000;270
2000;250
2000;260
2000;260
2000;250
2000;260
2000;250
2000;250
5000;2110
5000;550
5000;460
5000;450
5000;440
5000;450
5000;440
5000;420
5000;420
5000;460
10000;38800
10000;610
10000;500
10000;460
10000;420
10000;390
10000;390
10000;380
10000;380
10000;390
20000;80940
20000;1360
20000;900
20000;850
20000;840
20000;850
20000;830
20000;800
20000;820
20000;850
50000;100110
50000;1520
50000;1390
50000;1380
50000;1390
50000;1390
50000;1370
50000;1360
50000;1370
50000;1390
100000;32240
100000;2740
100000;2520
100000;2500
100000;2490
100000;2490
100000;2500
100000;2500
100000;2500
100000;2510
