Iters;Times
100;2010
100;890
100;440
100;310
100;290
100;250
100;280
100;280
100;280
100;280
200;260
200;70
200;50
200;50
200;70
200;50
200;30
200;40
200;30
200;40
500;1270
500;510
500;320
500;230
500;220
500;200
500;180
500;190
500;190
500;190
1000;1080
1000;360
1000;300
1000;280
1000;270
1000;280
1000;270
1000;270
1000;270
1000;260
2000;940
2000;340
2000;290
2000;250
2000;250
2000;260
2000;240
2000;240
2000;250
2000;250
5000;3690
5000;1070
5000;490
5000;460
5000;430
5000;450
5000;400
5000;410
5000;400
5000;450
10000;40320
10000;480
10000;450
10000;430
10000;380
10000;400
10000;370
10000;380
10000;390
10000;400
20000;99239
20000;1240
20000;950
20000;830
20000;830
20000;830
20000;800
20000;810
20000;800
20000;830
50000;102850
50000;2020
50000;1500
50000;1440
50000;1410
50000;1430
50000;1420
50000;1400
50000;1410
50000;1440
100000;35379
100000;2920
100000;2540
100000;2490
100000;2480
100000;2480
100000;2490
100000;2470
100000;2470
100000;2500
